gameid,tourneyid,tie,winnerid,winnername,winnerscore,winneroldrating,winnernewrating,winnerpos,loserid,losername,loserscore,loseroldrating,losernewrating,loserpos,round,division,date
362,3,FALSE,45,Diane Firstman,0,1538,1515,46,1957,Pat Brown,0,1416,1400,56,3,2,1/22/1999
363,3,FALSE,45,Diane Firstman,0,1538,1515,46,3931,Vince Anzalone,0,1412,1407,53,7,2,1/22/1999
364,3,FALSE,45,Diane Firstman,0,1538,1515,46,82,Sally Ricketts,0,1538,1508,43,8,2,1/22/1999
365,3,FALSE,45,Diane Firstman,0,1538,1515,46,618,Gregg Foster,0,1422,1456,21,9,2,1/22/1999
366,3,FALSE,47,Joe Weinike,0,1909,1920,9,3189,Gordon Shapiro,0,1865,1872,14,1,1,1/22/1999
367,3,FALSE,47,Joe Weinike,0,1909,1920,9,105,Dee Jackson,0,1685,1704,28,2,1,1/22/1999
368,3,FALSE,47,Joe Weinike,0,1909,1920,9,3706,Martin Smith,0,1762,1775,20,3,1,1/22/1999
369,3,FALSE,47,Joe Weinike,0,1909,1920,9,1847,Ian Weinstein,0,1930,1925,11,4,1,1/22/1999
370,3,FALSE,47,Joe Weinike,0,1909,1920,9,587,Randy Greenspan,0,1927,1947,6,5,1,1/22/1999
371,3,FALSE,47,Joe Weinike,0,1909,1920,9,2629,Rich Baker,0,1933,1914,22,7,1,1/22/1999
372,3,FALSE,47,Joe Weinike,0,1909,1920,9,587,Randy Greenspan,0,1927,1947,6,9,1,1/22/1999
373,3,FALSE,48,Rick Julian,0,1822,1792,37,72,James Dodds,0,1728,1735,32,1,1,1/22/1999
374,3,FALSE,48,Rick Julian,0,1822,1792,37,31,Matt Graham,0,1941,1946,8,2,1,1/22/1999
375,3,FALSE,48,Rick Julian,0,1822,1792,37,299,Steve Polatnick,0,1887,1914,3,3,1,1/22/1999
376,3,FALSE,48,Rick Julian,0,1822,1792,37,430,Avi Moss,0,1885,1847,26,6,1,1/22/1999
377,3,FALSE,49,Arnie Horowitz,0,1829,1828,23,115,Vicki Kahn,0,1745,1721,38,1,1,1/22/1999
378,3,FALSE,49,Arnie Horowitz,0,1829,1828,23,37,Ron Tiekert,0,2016,2034,1,2,1,1/22/1999
379,3,FALSE,49,Arnie Horowitz,0,1829,1828,23,2316,Sammy Okosagah,0,1891,1940,2,3,1,1/22/1999
380,3,FALSE,49,Arnie Horowitz,0,1829,1828,23,2627,Randy Hersom,0,1888,1869,16,4,1,1/22/1999
381,3,FALSE,49,Arnie Horowitz,0,1829,1828,23,1998,Richard Buck,0,1808,1758,36,10,1,1/22/1999
382,3,FALSE,49,Arnie Horowitz,0,1829,1828,23,72,James Dodds,0,1728,1735,32,12,1,1/22/1999
383,3,FALSE,51,Webster Phillips,0,1850,1849,25,88,Phil Polsky,0,1761,1753,27,2,1,1/22/1999
384,3,FALSE,51,Webster Phillips,0,1850,1849,25,68,David Abolafia,0,1677,1736,18,3,1,1/22/1999
385,3,FALSE,51,Webster Phillips,0,1850,1849,25,3189,Gordon Shapiro,0,1865,1872,14,4,1,1/22/1999
386,3,FALSE,51,Webster Phillips,0,1850,1849,25,580,Lynn Cushman,0,1878,1863,19,5,1,1/22/1999
387,3,FALSE,51,Webster Phillips,0,1850,1849,25,48,Rick Julian,0,1822,1792,37,9,1,1/22/1999
388,3,FALSE,51,Webster Phillips,0,1850,1849,25,58,Sal Piro,0,1845,1823,33,10,1,1/22/1999
389,3,FALSE,54,Rose Kreiswirth,0,1765,1827,5,114,Diana Grosman,0,1697,1706,31,1,1,1/22/1999
390,3,FALSE,54,Rose Kreiswirth,0,1765,1827,5,38,Matt Laufer,0,1916,1845,35,2,1,1/22/1999
391,3,FALSE,54,Rose Kreiswirth,0,1765,1827,5,56,Lloyd Mills,0,1927,1931,4,5,1,1/22/1999
392,3,FALSE,54,Rose Kreiswirth,0,1765,1827,5,85,Tom Kelly,0,1653,1693,29,6,1,1/22/1999
393,3,FALSE,54,Rose Kreiswirth,0,1765,1827,5,85,Tom Kelly,0,1653,1693,29,8,1,1/22/1999
394,3,FALSE,54,Rose Kreiswirth,0,1765,1827,5,560,Marlon Hill,0,1891,1873,17,10,1,1/22/1999
395,3,FALSE,54,Rose Kreiswirth,0,1765,1827,5,1949,Barry Keith,0,1849,1867,10,11,1,1/22/1999
396,3,FALSE,54,Rose Kreiswirth,0,1765,1827,5,1847,Ian Weinstein,0,1930,1925,11,12,1,1/22/1999
397,3,FALSE,56,Lloyd Mills,0,1927,1931,4,51,Webster Phillips,0,1850,1849,25,1,1,1/22/1999
398,3,FALSE,56,Lloyd Mills,0,1927,1931,4,68,David Abolafia,0,1677,1736,18,2,1,1/22/1999
399,3,FALSE,56,Lloyd Mills,0,1927,1931,4,105,Dee Jackson,0,1685,1704,28,6,1,1/22/1999
400,3,FALSE,56,Lloyd Mills,0,1927,1931,4,560,Marlon Hill,0,1891,1873,17,7,1,1/22/1999
401,3,FALSE,56,Lloyd Mills,0,1927,1931,4,59,Marjorie Schoneboom,0,1836,1819,30,8,1,1/22/1999
402,3,FALSE,56,Lloyd Mills,0,1927,1931,4,66,Joel Horn,0,1704,1773,15,9,1,1/22/1999
403,3,FALSE,56,Lloyd Mills,0,1927,1931,4,2629,Rich Baker,0,1933,1914,22,11,1,1/22/1999
404,3,FALSE,56,Lloyd Mills,0,1927,1931,4,3189,Gordon Shapiro,0,1865,1872,14,12,1,1/22/1999
405,3,FALSE,58,Sal Piro,0,1845,1823,33,85,Tom Kelly,0,1653,1693,29,1,1,1/22/1999
406,3,FALSE,58,Sal Piro,0,1845,1823,33,1489,John Luebkemann,0,1978,1952,13,2,1,1/22/1999
407,3,FALSE,58,Sal Piro,0,1845,1823,33,2035,Bruce Adams,0,1708,1646,40,7,1,1/22/1999
408,3,FALSE,58,Sal Piro,0,1845,1823,33,38,Matt Laufer,0,1916,1845,35,8,1,1/22/1999
409,3,FALSE,58,Sal Piro,0,1845,1823,33,3416,Jill Pfeiffer,0,1709,1748,24,9,1,1/22/1999
410,3,FALSE,59,Marjorie Schoneboom,0,1836,1819,30,430,Avi Moss,0,1885,1847,26,2,1,1/22/1999
411,3,FALSE,59,Marjorie Schoneboom,0,1836,1819,30,38,Matt Laufer,0,1916,1845,35,4,1,1/22/1999
412,3,FALSE,59,Marjorie Schoneboom,0,1836,1819,30,32,Larry Sherman,0,1883,1862,21,6,1,1/22/1999
413,3,FALSE,59,Marjorie Schoneboom,0,1836,1819,30,1489,John Luebkemann,0,1978,1952,13,7,1,1/22/1999
414,3,FALSE,59,Marjorie Schoneboom,0,1836,1819,30,1998,Richard Buck,0,1808,1758,36,9,1,1/22/1999
415,3,FALSE,62,Bobbie Butterfield,0,1641,1682,2,108,George Spanfelner,0,1538,1465,60,1,2,1/22/1999
416,3,FALSE,62,Bobbie Butterfield,0,1641,1682,2,134,Nancy Okolsky,0,1402,1429,62,2,2,1/22/1999
417,3,FALSE,62,Bobbie Butterfield,0,1641,1682,2,2599,Rose Noel,0,1449,1415,52,3,2,1/22/1999
418,3,FALSE,62,Bobbie Butterfield,0,1641,1682,2,303,Roy Dixon,0,1759,1746,5,4,2,1/22/1999
419,3,FALSE,62,Bobbie Butterfield,0,1641,1682,2,4260,Shirley Fliesser,0,1599,1594,15,7,2,1/22/1999
420,3,FALSE,62,Bobbie Butterfield,0,1641,1682,2,83,Florence Spanfelner,0,1561,1567,22,8,2,1/22/1999
421,3,FALSE,62,Bobbie Butterfield,0,1641,1682,2,2932,Milton Villanueva,0,1643,1623,19,10,2,1/22/1999
422,3,FALSE,62,Bobbie Butterfield,0,1641,1682,2,612,Ellen Miller,0,1521,1569,8,11,2,1/22/1999
423,3,FALSE,62,Bobbie Butterfield,0,1641,1682,2,44,Paul Avrin,0,1735,1761,1,12,2,1/22/1999
424,3,FALSE,66,Joel Horn,0,1704,1773,15,2931,Josh Silber,0,1875,1903,7,2,1,1/22/1999
425,3,FALSE,66,Joel Horn,0,1704,1773,15,114,Diana Grosman,0,1697,1706,31,4,1,1/22/1999
426,3,FALSE,66,Joel Horn,0,1704,1773,15,1998,Richard Buck,0,1808,1758,36,5,1,1/22/1999
427,3,FALSE,66,Joel Horn,0,1704,1773,15,580,Lynn Cushman,0,1878,1863,19,7,1,1/22/1999
428,3,FALSE,66,Joel Horn,0,1704,1773,15,1998,Richard Buck,0,1808,1758,36,8,1,1/22/1999
429,3,FALSE,66,Joel Horn,0,1704,1773,15,49,Arnie Horowitz,0,1829,1828,23,11,1,1/22/1999
430,3,FALSE,66,Joel Horn,0,1704,1773,15,51,Webster Phillips,0,1850,1849,25,12,1,1/22/1999
431,3,FALSE,68,David Abolafia,0,1677,1736,18,88,Phil Polsky,0,1761,1753,27,1,1,1/22/1999
432,3,FALSE,68,David Abolafia,0,1677,1736,18,105,Dee Jackson,0,1685,1704,28,4,1,1/22/1999
433,3,FALSE,68,David Abolafia,0,1677,1736,18,32,Larry Sherman,0,1883,1862,21,7,1,1/22/1999
434,3,FALSE,68,David Abolafia,0,1677,1736,18,430,Avi Moss,0,1885,1847,26,9,1,1/22/1999
435,3,FALSE,68,David Abolafia,0,1677,1736,18,38,Matt Laufer,0,1916,1845,35,11,1,1/22/1999
436,3,FALSE,68,David Abolafia,0,1677,1736,18,59,Marjorie Schoneboom,0,1836,1819,30,12,1,1/22/1999
437,3,FALSE,69,Judy Horn,0,1632,1627,20,82,Sally Ricketts,0,1538,1508,43,1,2,1/22/1999
438,3,FALSE,69,Judy Horn,0,1632,1627,20,4351,Edward Coker,0,1448,1452,40,3,2,1/22/1999
439,3,FALSE,69,Judy Horn,0,1632,1627,20,45,Diane Firstman,0,1538,1515,46,4,2,1/22/1999
440,3,FALSE,69,Judy Horn,0,1632,1627,20,35,Howard Greenspan,0,1605,1611,9,6,2,1/22/1999
441,3,FALSE,69,Judy Horn,0,1632,1627,20,2932,Milton Villanueva,0,1643,1623,19,7,2,1/22/1999
442,3,FALSE,69,Judy Horn,0,1632,1627,20,71,Noel Livermore,0,1582,1601,7,8,2,1/22/1999
443,3,FALSE,69,Judy Horn,0,1632,1627,20,3371,Wendy Littman,0,1490,1540,18,9,2,1/22/1999
444,3,FALSE,71,Noel Livermore,0,1582,1601,7,618,Gregg Foster,0,1422,1456,21,1,2,1/22/1999
445,3,FALSE,71,Noel Livermore,0,1582,1601,7,569,Jay Strieb,0,1320,1363,29,3,2,1/22/1999
446,3,FALSE,71,Noel Livermore,0,1582,1601,7,3433,Sheldon Silverstein,0,1433,1456,38,4,2,1/22/1999
447,3,FALSE,71,Noel Livermore,0,1582,1601,7,69,Judy Horn,0,1632,1627,20,5,2,1/22/1999
448,3,FALSE,71,Noel Livermore,0,1582,1601,7,62,Bobbie Butterfield,0,1641,1682,2,6,2,1/22/1999
449,3,FALSE,71,Noel Livermore,0,1582,1601,7,5244,Pat Cole,0,1512,1529,25,9,2,1/22/1999
450,3,FALSE,71,Noel Livermore,0,1582,1601,7,19676,Celia Dayrit Thompson,0,1430,1443,28,11,2,1/22/1999
451,3,FALSE,71,Noel Livermore,0,1582,1601,7,69,Judy Horn,0,1632,1627,20,12,2,1/22/1999
452,3,FALSE,72,James Dodds,0,1728,1735,32,88,Phil Polsky,0,1761,1753,27,6,1,1/22/1999
453,3,FALSE,72,James Dodds,0,1728,1735,32,242,Verna Richards Berg,0,1740,1770,12,7,1,1/22/1999
454,3,FALSE,72,James Dodds,0,1728,1735,32,581,Joanne Cohen,0,1792,1754,34,8,1,1/22/1999
455,3,FALSE,72,James Dodds,0,1728,1735,32,858,David Moersdorf,0,1659,1632,39,9,1,1/22/1999
456,3,FALSE,72,James Dodds,0,1728,1735,32,48,Rick Julian,0,1822,1792,37,10,1,1/22/1999
457,3,FALSE,77,Thomas M Hall,0,1321,1350,47,5531,Carroll Smith,0,1593,1504,54,1,2,1/22/1999
458,3,FALSE,77,Thomas M Hall,0,1321,1350,47,5308,James W Flomo,0,1328,1354,45,3,2,1/22/1999
459,3,FALSE,77,Thomas M Hall,0,1321,1350,47,5890,Anita Shields,0,1416,1361,61,7,2,1/22/1999
460,3,FALSE,77,Thomas M Hall,0,1321,1350,47,80,Carole Denton,0,1441,1444,24,8,2,1/22/1999
461,3,FALSE,77,Thomas M Hall,0,1321,1350,47,596,David Lieberfarb,0,1590,1591,12,9,2,1/22/1999
462,3,FALSE,79,Sarah Rosenblum,0,1461,1487,23,83,Florence Spanfelner,0,1561,1567,22,2,2,1/22/1999
463,3,FALSE,79,Sarah Rosenblum,0,1461,1487,23,95,Glenn Filzer,0,1521,1478,41,4,2,1/22/1999
464,3,FALSE,79,Sarah Rosenblum,0,1461,1487,23,1995,Martha Bedford,0,1440,1446,27,5,2,1/22/1999
465,3,FALSE,79,Sarah Rosenblum,0,1461,1487,23,5890,Anita Shields,0,1416,1361,61,6,2,1/22/1999
466,3,FALSE,79,Sarah Rosenblum,0,1461,1487,23,163,Bob Kilpatrick,0,1414,1442,37,8,2,1/22/1999
467,3,FALSE,79,Sarah Rosenblum,0,1461,1487,23,153,Dolly Silverstein,0,1373,1379,49,11,2,1/22/1999
468,3,FALSE,79,Sarah Rosenblum,0,1461,1487,23,615,Marie Puma,0,1361,1400,36,12,2,1/22/1999
469,3,FALSE,80,Carole Denton,0,1441,1444,24,5308,James W Flomo,0,1328,1354,45,5,2,1/22/1999
470,3,FALSE,80,Carole Denton,0,1441,1444,24,87,Joan Kelly,0,1528,1451,59,6,2,1/22/1999
471,3,FALSE,80,Carole Denton,0,1441,1444,24,4269,Evelyn Lambert,0,1365,1384,48,7,2,1/22/1999
472,3,FALSE,80,Carole Denton,0,1441,1444,24,109,Helene Browe,0,1393,1432,34,9,2,1/22/1999
473,3,FALSE,80,Carole Denton,0,1441,1444,24,2912,Jim Piazza,0,1466,1455,39,10,2,1/22/1999
474,3,FALSE,80,Carole Denton,0,1441,1444,24,1951,Steve Gawtry,0,1354,1447,26,11,2,1/22/1999
475,3,FALSE,82,Sally Ricketts,0,1538,1508,43,4351,Edward Coker,0,1448,1452,40,2,2,1/22/1999
476,3,FALSE,82,Sally Ricketts,0,1538,1508,43,2333,Hillary Goldberg,0,1500,1472,44,4,2,1/22/1999
477,3,FALSE,82,Sally Ricketts,0,1538,1508,43,120,Marty Fialkow,0,1452,1480,35,5,2,1/22/1999
478,3,FALSE,82,Sally Ricketts,0,1538,1508,43,4423,Victor Steinman,0,1558,1503,57,9,2,1/22/1999
479,3,FALSE,82,Sally Ricketts,0,1538,1508,43,3931,Vince Anzalone,0,1412,1407,53,12,2,1/22/1999
480,3,FALSE,83,Florence Spanfelner,0,1561,1567,22,163,Bob Kilpatrick,0,1414,1442,37,3,2,1/22/1999
481,3,FALSE,83,Florence Spanfelner,0,1561,1567,22,118,Ted Mast,0,1429,1395,55,4,2,1/22/1999
482,3,FALSE,83,Florence Spanfelner,0,1561,1567,22,153,Dolly Silverstein,0,1373,1379,49,5,2,1/22/1999
483,3,FALSE,83,Florence Spanfelner,0,1561,1567,22,2912,Jim Piazza,0,1466,1455,39,6,2,1/22/1999
484,3,FALSE,83,Florence Spanfelner,0,1561,1567,22,1995,Martha Bedford,0,1440,1446,27,7,2,1/22/1999
485,3,FALSE,83,Florence Spanfelner,0,1561,1567,22,1280,Maurice Decanio,0,1621,1586,30,9,2,1/22/1999
486,3,FALSE,83,Florence Spanfelner,0,1561,1567,22,99,Shah Ali,0,1615,1574,32,12,2,1/22/1999
487,3,FALSE,85,Tom Kelly,0,1653,1693,29,1489,John Luebkemann,0,1978,1952,13,3,1,1/22/1999
488,3,FALSE,85,Tom Kelly,0,1653,1693,29,581,Joanne Cohen,0,1792,1754,34,4,1,1/22/1999
489,3,FALSE,85,Tom Kelly,0,1653,1693,29,59,Marjorie Schoneboom,0,1836,1819,30,5,1,1/22/1999
490,3,FALSE,85,Tom Kelly,0,1653,1693,29,49,Arnie Horowitz,0,1829,1828,23,7,1,1/22/1999
491,3,FALSE,85,Tom Kelly,0,1653,1693,29,2627,Randy Hersom,0,1888,1869,16,9,1,1/22/1999
492,3,FALSE,87,Joan Kelly,0,1528,1451,59,1995,Martha Bedford,0,1440,1446,27,3,2,1/22/1999
493,3,FALSE,87,Joan Kelly,0,1528,1451,59,4269,Evelyn Lambert,0,1365,1384,48,9,2,1/22/1999
494,3,FALSE,87,Joan Kelly,0,1528,1451,59,4428,Jean Lithgow,0,1421,1385,58,11,2,1/22/1999
495,3,FALSE,88,Phil Polsky,0,1761,1753,27,56,Lloyd Mills,0,1927,1931,4,3,1,1/22/1999
496,3,FALSE,88,Phil Polsky,0,1761,1753,27,858,David Moersdorf,0,1659,1632,39,7,1,1/22/1999
497,3,FALSE,88,Phil Polsky,0,1761,1753,27,581,Joanne Cohen,0,1792,1754,34,10,1,1/22/1999
498,3,FALSE,88,Phil Polsky,0,1761,1753,27,115,Vicki Kahn,0,1745,1721,38,11,1,1/22/1999
499,3,FALSE,88,Phil Polsky,0,1761,1753,27,38,Matt Laufer,0,1916,1845,35,12,1,1/22/1999
500,3,FALSE,92,Mark Berg,0,1748,1757,3,596,David Lieberfarb,0,1590,1591,12,1,2,1/22/1999
501,3,FALSE,92,Mark Berg,0,1748,1757,3,4428,Jean Lithgow,0,1421,1385,58,3,2,1/22/1999
502,3,FALSE,92,Mark Berg,0,1748,1757,3,77,Thomas M Hall,0,1321,1350,47,4,2,1/22/1999
503,3,FALSE,92,Mark Berg,0,1748,1757,3,1281,Mary A Lyons,0,1623,1599,14,5,2,1/22/1999
504,3,FALSE,92,Mark Berg,0,1748,1757,3,4260,Shirley Fliesser,0,1599,1594,15,6,2,1/22/1999
505,3,FALSE,92,Mark Berg,0,1748,1757,3,71,Noel Livermore,0,1582,1601,7,7,2,1/22/1999
506,3,FALSE,92,Mark Berg,0,1748,1757,3,303,Roy Dixon,0,1759,1746,5,8,2,1/22/1999
507,3,FALSE,92,Mark Berg,0,1748,1757,3,612,Ellen Miller,0,1521,1569,8,10,2,1/22/1999
508,3,FALSE,92,Mark Berg,0,1748,1757,3,1112,Mary Capalbi,0,1493,1550,10,12,2,1/22/1999
509,3,FALSE,95,Glenn Filzer,0,1521,1478,41,153,Dolly Silverstein,0,1373,1379,49,2,2,1/22/1999
510,3,FALSE,95,Glenn Filzer,0,1521,1478,41,87,Joan Kelly,0,1528,1451,59,7,2,1/22/1999
511,3,FALSE,95,Glenn Filzer,0,1521,1478,41,2599,Rose Noel,0,1449,1415,52,8,2,1/22/1999
512,3,FALSE,95,Glenn Filzer,0,1521,1478,41,2599,Rose Noel,0,1449,1415,52,10,2,1/22/1999
513,3,FALSE,95,Glenn Filzer,0,1521,1478,41,2912,Jim Piazza,0,1466,1455,39,11,2,1/22/1999
514,3,FALSE,97,Betty Burton,0,1482,1478,33,80,Carole Denton,0,1441,1444,24,4,2,1/22/1999
515,3,FALSE,97,Betty Burton,0,1482,1478,33,108,George Spanfelner,0,1538,1465,60,6,2,1/22/1999
516,3,FALSE,97,Betty Burton,0,1482,1478,33,5531,Carroll Smith,0,1593,1504,54,9,2,1/22/1999
517,3,FALSE,97,Betty Burton,0,1482,1478,33,995,Vivienne Muhling,0,1308,1289,63,10,2,1/22/1999
518,3,FALSE,97,Betty Burton,0,1482,1478,33,82,Sally Ricketts,0,1538,1508,43,11,2,1/22/1999
519,3,FALSE,97,Betty Burton,0,1482,1478,33,77,Thomas M Hall,0,1321,1350,47,12,2,1/22/1999
520,3,FALSE,99,Shah Ali,0,1615,1574,32,4269,Evelyn Lambert,0,1365,1384,48,3,2,1/22/1999
521,3,FALSE,99,Shah Ali,0,1615,1574,32,3931,Vince Anzalone,0,1412,1407,53,4,2,1/22/1999
522,3,FALSE,99,Shah Ali,0,1615,1574,32,5890,Anita Shields,0,1416,1361,61,5,2,1/22/1999
523,3,FALSE,99,Shah Ali,0,1615,1574,32,82,Sally Ricketts,0,1538,1508,43,7,2,1/22/1999
524,3,FALSE,99,Shah Ali,0,1615,1574,32,120,Marty Fialkow,0,1452,1480,35,8,2,1/22/1999
525,3,FALSE,99,Shah Ali,0,1615,1574,32,45,Diane Firstman,0,1538,1515,46,10,2,1/22/1999
526,3,FALSE,103,David Engelhardt,0,1531,1533,17,80,Carole Denton,0,1441,1444,24,2,2,1/22/1999
527,3,FALSE,103,David Engelhardt,0,1531,1533,17,596,David Lieberfarb,0,1590,1591,12,4,2,1/22/1999
528,3,FALSE,103,David Engelhardt,0,1531,1533,17,5531,Carroll Smith,0,1593,1504,54,6,2,1/22/1999
529,3,FALSE,103,David Engelhardt,0,1531,1533,17,5308,James W Flomo,0,1328,1354,45,9,2,1/22/1999
530,3,FALSE,103,David Engelhardt,0,1531,1533,17,82,Sally Ricketts,0,1538,1508,43,10,2,1/22/1999
531,3,FALSE,103,David Engelhardt,0,1531,1533,17,569,Jay Strieb,0,1320,1363,29,11,2,1/22/1999
532,3,FALSE,103,David Engelhardt,0,1531,1533,17,120,Marty Fialkow,0,1452,1480,35,12,2,1/22/1999
533,3,FALSE,105,Dee Jackson,0,1685,1704,28,3706,Martin Smith,0,1762,1775,20,1,1,1/22/1999
534,3,FALSE,105,Dee Jackson,0,1685,1704,28,242,Verna Richards Berg,0,1740,1770,12,5,1,1/22/1999
535,3,FALSE,105,Dee Jackson,0,1685,1704,28,581,Joanne Cohen,0,1792,1754,34,7,1,1/22/1999
536,3,FALSE,105,Dee Jackson,0,1685,1704,28,49,Arnie Horowitz,0,1829,1828,23,9,1,1/22/1999
537,3,FALSE,105,Dee Jackson,0,1685,1704,28,1998,Richard Buck,0,1808,1758,36,12,1,1/22/1999
538,3,FALSE,108,George Spanfelner,0,1538,1465,60,995,Vivienne Muhling,0,1308,1289,63,7,2,1/22/1999
539,3,FALSE,108,George Spanfelner,0,1538,1465,60,995,Vivienne Muhling,0,1308,1289,63,11,2,1/22/1999
540,3,FALSE,108,George Spanfelner,0,1538,1465,60,5312,Jay Malarcher,0,1429,1338,64,12,2,1/22/1999
541,3,FALSE,109,Helene Browe,0,1393,1432,34,80,Carole Denton,0,1441,1444,24,1,2,1/22/1999
542,3,FALSE,109,Helene Browe,0,1393,1432,34,103,David Engelhardt,0,1531,1533,17,3,2,1/22/1999
543,3,FALSE,109,Helene Browe,0,1393,1432,34,19676,Celia Dayrit Thompson,0,1430,1443,28,4,2,1/22/1999
544,3,FALSE,109,Helene Browe,0,1393,1432,34,618,Gregg Foster,0,1422,1456,21,5,2,1/22/1999
545,3,FALSE,109,Helene Browe,0,1393,1432,34,1957,Pat Brown,0,1416,1400,56,10,2,1/22/1999
546,3,FALSE,109,Helene Browe,0,1393,1432,34,3433,Sheldon Silverstein,0,1433,1456,38,11,2,1/22/1999
547,3,FALSE,110,Douglas Hoylman,0,1622,1638,11,612,Ellen Miller,0,1521,1569,8,1,2,1/22/1999
548,3,FALSE,110,Douglas Hoylman,0,1622,1638,11,3433,Sheldon Silverstein,0,1433,1456,38,2,2,1/22/1999
549,3,FALSE,110,Douglas Hoylman,0,1622,1638,11,45,Diane Firstman,0,1538,1515,46,6,2,1/22/1999
550,3,FALSE,110,Douglas Hoylman,0,1622,1638,11,116,Ann Raymond,0,1562,1510,42,7,2,1/22/1999
551,3,FALSE,110,Douglas Hoylman,0,1622,1638,11,4260,Shirley Fliesser,0,1599,1594,15,8,2,1/22/1999
552,3,FALSE,110,Douglas Hoylman,0,1622,1638,11,79,Sarah Rosenblum,0,1461,1487,23,9,2,1/22/1999
553,3,FALSE,110,Douglas Hoylman,0,1622,1638,11,35,Howard Greenspan,0,1605,1611,9,10,2,1/22/1999
554,3,FALSE,110,Douglas Hoylman,0,1622,1638,11,3056,Charles Merlis,0,1674,1639,13,11,2,1/22/1999
555,3,FALSE,10074,C Pollard,0,1624,1705,4,103,David Engelhardt,0,1531,1533,17,1,2,1/22/1999
556,3,FALSE,10074,C Pollard,0,1624,1705,4,109,Helene Browe,0,1393,1432,34,2,2,1/22/1999
557,3,FALSE,10074,C Pollard,0,1624,1705,4,80,Carole Denton,0,1441,1444,24,3,2,1/22/1999
558,3,FALSE,10074,C Pollard,0,1624,1705,4,1280,Maurice Decanio,0,1621,1586,30,4,2,1/22/1999
559,3,FALSE,10074,C Pollard,0,1624,1705,4,62,Bobbie Butterfield,0,1641,1682,2,5,2,1/22/1999
560,3,FALSE,10074,C Pollard,0,1624,1705,4,3056,Charles Merlis,0,1674,1639,13,6,2,1/22/1999
561,3,FALSE,10074,C Pollard,0,1624,1705,4,303,Roy Dixon,0,1759,1746,5,7,2,1/22/1999
562,3,FALSE,10074,C Pollard,0,1624,1705,4,303,Roy Dixon,0,1759,1746,5,10,2,1/22/1999
563,3,FALSE,10074,C Pollard,0,1624,1705,4,123,Jo Anne Cohen,0,1430,1520,6,11,2,1/22/1999
564,3,FALSE,114,Diana Grosman,0,1697,1706,31,38,Matt Laufer,0,1916,1845,35,3,1,1/22/1999
565,3,FALSE,114,Diana Grosman,0,1697,1706,31,858,David Moersdorf,0,1659,1632,39,5,1,1/22/1999
566,3,FALSE,114,Diana Grosman,0,1697,1706,31,115,Vicki Kahn,0,1745,1721,38,7,1,1/22/1999
567,3,FALSE,114,Diana Grosman,0,1697,1706,31,858,David Moersdorf,0,1659,1632,39,11,1,1/22/1999
568,3,FALSE,114,Diana Grosman,0,1697,1706,31,48,Rick Julian,0,1822,1792,37,12,1,1/22/1999
569,3,FALSE,115,Vicki Kahn,0,1745,1721,38,72,James Dodds,0,1728,1735,32,4,1,1/22/1999
570,3,FALSE,115,Vicki Kahn,0,1745,1721,38,2035,Bruce Adams,0,1708,1646,40,5,1,1/22/1999
571,3,FALSE,115,Vicki Kahn,0,1745,1721,38,32,Larry Sherman,0,1883,1862,21,8,1,1/22/1999
572,3,FALSE,115,Vicki Kahn,0,1745,1721,38,2035,Bruce Adams,0,1708,1646,40,12,1,1/22/1999
573,3,FALSE,116,Ann Raymond,0,1562,1510,42,4428,Jean Lithgow,0,1421,1385,58,4,2,1/22/1999
574,3,FALSE,116,Ann Raymond,0,1562,1510,42,995,Vivienne Muhling,0,1308,1289,63,5,2,1/22/1999
575,3,FALSE,116,Ann Raymond,0,1562,1510,42,3931,Vince Anzalone,0,1412,1407,53,6,2,1/22/1999
576,3,FALSE,116,Ann Raymond,0,1562,1510,42,1995,Martha Bedford,0,1440,1446,27,9,2,1/22/1999
577,3,FALSE,116,Ann Raymond,0,1562,1510,42,153,Dolly Silverstein,0,1373,1379,49,10,2,1/22/1999
578,3,FALSE,118,Ted Mast,0,1429,1395,55,995,Vivienne Muhling,0,1308,1289,63,1,2,1/22/1999
579,3,FALSE,118,Ted Mast,0,1429,1395,55,1957,Pat Brown,0,1416,1400,56,5,2,1/22/1999
580,3,FALSE,118,Ted Mast,0,1429,1395,55,5312,Jay Malarcher,0,1429,1338,64,8,2,1/22/1999
581,3,FALSE,118,Ted Mast,0,1429,1395,55,5312,Jay Malarcher,0,1429,1338,64,10,2,1/22/1999
582,3,FALSE,120,Marty Fialkow,0,1452,1480,35,3931,Vince Anzalone,0,1412,1407,53,1,2,1/22/1999
583,3,FALSE,120,Marty Fialkow,0,1452,1480,35,87,Joan Kelly,0,1528,1451,59,4,2,1/22/1999
584,3,FALSE,120,Marty Fialkow,0,1452,1480,35,19676,Celia Dayrit Thompson,0,1430,1443,28,6,2,1/22/1999
585,3,FALSE,120,Marty Fialkow,0,1452,1480,35,103,David Engelhardt,0,1531,1533,17,7,2,1/22/1999
586,3,FALSE,120,Marty Fialkow,0,1452,1480,35,2333,Hillary Goldberg,0,1500,1472,44,10,2,1/22/1999
587,3,FALSE,120,Marty Fialkow,0,1452,1480,35,1280,Maurice Decanio,0,1621,1586,30,11,2,1/22/1999
588,3,FALSE,123,Jo Anne Cohen,0,1430,1520,6,153,Dolly Silverstein,0,1373,1379,49,1,2,1/22/1999
